IsCanceled,LeadTime,arrival_date,StaysInWeekendNights,StaysInWeekNights,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,CustomerType,ADR,TotalOfSpecialRequests
0,6,2015-07-01,0,2,0,0,A,A,0,No Deposit,Transient,0,0
1,62,2015-07-02,2,3,0,0,A,A,0,No Deposit,Transient,76.5,1
0,43,2015-07-03,0,2,0,0,A,A,1,No Deposit,Transient-Party,43,0
0,43,2015-07-03,0,2,0,0,A,A,1,No Deposit,Transient-Party,63,0
1,43,2015-07-03,0,2,0,0,A,A,0,No Deposit,Transient-Party,86,0
0,43,2015-07-03,0,2,0,0,A,A,0,No Deposit,Transient-Party,86,0
1,71,2015-07-05,2,1,0,0,A,A,1,No Deposit,Transient,55.8,0
1,92,2015-07-05,2,3,0,0,A,A,0,No Deposit,Transient,49.74,0
1,75,2015-07-06,1,1,0,0,A,A,0,No Deposit,Transient,76.5,1
1,100,2015-07-06,1,4,0,0,A,A,0,No Deposit,Transient,93.6,2
1,83,2015-07-06,2,5,0,0,A,A,0,No Deposit,Transient,76.5,1
1,86,2015-07-06,1,3,0,0,A,A,0,No Deposit,Transient,76.5,0
1,92,2015-07-07,0,4,0,0,A,A,0,No Deposit,Transient,68,0
0,54,2015-07-07,2,8,0,0,A,A,0,No Deposit,Transient,62.37,0
1,90,2015-07-07,5,15,0,0,A,A,0,No Deposit,Transient,48.6,0
1,24,2015-07-09,0,2,0,0,A,A,0,No Deposit,Transient,100,0
1,65,2015-07-10,0,2,0,0,A,A,0,No Deposit,Transient,68.85,1
1,87,2015-07-10,3,7,0,0,A,A,0,No Deposit,Transient,58.9,1
0,3,2015-07-11,0,1,0,0,A,A,0,No Deposit,Transient-Party,104,0
1,96,2015-07-11,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,96,2015-07-11,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,96,2015-07-11,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,96,2015-07-11,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,96,2015-07-11,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,96,2015-07-11,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,3,2015-07-11,2,1,0,0,A,A,0,No Deposit,Transient-Party,138.5,0
1,96,2015-07-11,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,60,2015-07-13,1,0,0,0,A,A,0,No Deposit,Transient,76.5,0
1,60,2015-07-13,1,0,0,0,A,A,0,No Deposit,Transient,91.33,0
1,60,2015-07-13,1,0,0,0,A,A,0,No Deposit,Transient,76.5,0
1,122,2015-07-13,1,0,0,0,A,A,0,No Deposit,Transient-Party,76.5,2
1,60,2015-07-13,1,0,0,0,A,A,0,No Deposit,Transient,91.33,0
1,77,2015-07-13,1,2,0,0,A,A,0,No Deposit,Transient,76.5,1
1,123,2015-07-13,1,3,0,0,A,A,0,No Deposit,Transient,76.5,0
1,94,2015-07-14,0,3,0,0,A,A,0,No Deposit,Transient,76.5,1
1,92,2015-07-15,0,4,0,0,D,D,0,No Deposit,Transient,89.25,2
1,125,2015-07-15,2,4,0,0,A,A,0,No Deposit,Transient,76.5,0
1,62,2015-07-15,2,7,0,0,A,A,0,No Deposit,Transient,68,1
1,82,2015-07-16,0,3,0,0,A,A,0,No Deposit,Transient,76.5,0
0,18,2015-07-18,1,1,0,0,A,A,0,No Deposit,Transient-Party,75,0
0,18,2015-07-18,1,1,0,0,A,A,0,No Deposit,Transient-Party,75,0
1,103,2015-07-18,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,103,2015-07-18,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,103,2015-07-18,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,103,2015-07-18,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,103,2015-07-18,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,103,2015-07-18,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
1,103,2015-07-18,2,1,0,0,A,A,0,No Deposit,Transient-Party,94.5,0
0,12,2015-07-18,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
1,12,2015-07-18,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
1,12,2015-07-18,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,12,2015-07-18,2,2,0,0,A,A,1,No Deposit,Transient-Party,60,0
0,12,2015-07-18,2,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,90,2015-07-20,1,1,0,0,A,A,1,No Deposit,Transient,46.66,0
1,22,2015-07-22,0,2,0,0,A,A,0,Non Refund,Transient-Party,62,0
1,22,2015-07-22,0,2,0,0,A,A,0,Non Refund,Transient-Party,62,0
1,20,2015-07-22,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
1,22,2015-07-22,0,2,0,0,A,A,0,Non Refund,Transient-Party,62,0
0,20,2015-07-22,0,2,0,0,A,A,0,No Deposit,Transient-Party,84,0
1,22,2015-07-22,0,2,0,0,A,A,0,Non Refund,Transient-Party,62,0
0,20,2015-07-22,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
0,20,2015-07-22,0,2,0,0,A,G,1,No Deposit,Transient-Party,62,0
0,20,2015-07-22,0,2,0,0,A,A,1,No Deposit,Transient-Party,84,0
1,112,2015-07-22,0,4,0,0,A,A,0,No Deposit,Transient,76.5,0
1,69,2015-07-22,2,5,0,0,A,A,0,No Deposit,Transient-Party,76.5,1
1,69,2015-07-22,2,5,0,0,A,A,0,No Deposit,Transient-Party,76.5,2
1,22,2015-07-22,0,2,0,0,A,A,0,Non Refund,Transient-Party,62,0
0,20,2015-07-22,0,2,0,0,A,A,0,No Deposit,Transient-Party,62,0
1,93,2015-07-23,0,2,0,0,A,A,0,No Deposit,Transient,76.5,1
